model,feature_set,repeat,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mcc
LR,combined,6,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
NB,combined,6,4,0.9166666666666666,0.6666666666666666,0.625,0.6666666666666666,0.6444444444444445,0.8492077756084467
kNN,combined,6,4,0.75,0.75,0.9,0.75,0.7411764705882353,0.5765566601970551
DT,combined,6,4,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
RF,combined,6,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
SVM,combined,6,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
AB,combined,6,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
GBT,combined,6,4,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9301587301587301,0.8525978400882076
LR,combined,7,0,0.75,0.7936507936507936,0.7777777777777778,0.7936507936507936,0.7452991452991453,0.6121460921524144
NB,combined,7,0,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,7,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
DT,combined,7,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
RF,combined,7,0,0.8333333333333334,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.7073170731707317
SVM,combined,7,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
AB,combined,7,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
GBT,combined,7,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
LR,combined,7,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
NB,combined,7,1,0.75,0.5138888888888888,0.48148148148148145,0.5138888888888888,0.49673202614379086,0.43915503282683993
kNN,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
DT,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,7,1,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,7,2,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,0.7936507936507936,0.7389884275845571
NB,combined,7,2,0.9166666666666666,0.6666666666666666,0.6296296296296297,0.6666666666666666,0.6470588235294118,0.8295150620062531
kNN,combined,7,2,0.75,0.8055555555555555,0.6746031746031745,0.8055555555555555,0.7111111111111111,0.541162769282166
DT,combined,7,2,0.6666666666666666,0.7638888888888888,0.6944444444444445,0.7638888888888888,0.6380952380952382,0.48416483186574427
RF,combined,7,2,0.6666666666666666,0.8333333333333334,0.6444444444444445,0.8333333333333334,0.6388888888888888,0.5670807236297687
SVM,combined,7,2,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,0.7936507936507936,0.7389884275845571
AB,combined,7,2,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,7,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,7,3,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,7,3,0.8333333333333334,0.5833333333333334,0.5925925925925926,0.5833333333333334,0.5773809523809524,0.6933752452815364
kNN,combined,7,3,0.8333333333333334,0.5833333333333334,0.5925925925925926,0.5833333333333334,0.5773809523809524,0.6933752452815364
DT,combined,7,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
RF,combined,7,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
SVM,combined,7,3,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,7,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
GBT,combined,7,3,0.8333333333333334,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.8472222222222222,0.7136412401400631
LR,combined,7,4,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,7,4,0.8333333333333334,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8777777777777778,0.7502344849205329
kNN,combined,7,4,0.6666666666666666,0.4523809523809524,0.5555555555555555,0.4523809523809524,0.47222222222222215,0.35682062007003157
DT,combined,7,4,1.0,1.0,1.0,1.0,1.0,1.0
RF,combined,7,4,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,7,4,0.9166666666666666,0.6666666666666666,0.625,0.6666666666666666,0.6444444444444445,0.8492077756084467
AB,combined,7,4,0.9166666666666666,0.9523809523809524,0.9333333333333332,0.9523809523809524,0.9373219373219372,0.8627696576586129
GBT,combined,7,4,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,8,0,0.8333333333333334,0.7777777777777777,0.9259259259259259,0.7777777777777777,0.7916666666666666,0.725018488207177
NB,combined,8,0,0.6666666666666666,0.4444444444444444,0.5454545454545454,0.4444444444444444,0.4259259259259259,0.37670528747840887
kNN,combined,8,0,0.6666666666666666,0.5,0.5454545454545454,0.5,0.48148148148148145,0.40024936794580945
DT,combined,8,0,0.6666666666666666,0.6190476190476191,0.5555555555555555,0.6190476190476191,0.5833333333333334,0.377009613867732
RF,combined,8,0,0.6666666666666666,0.6190476190476191,0.4444444444444444,0.6190476190476191,0.5166666666666667,0.40575133560034454
SVM,combined,8,0,0.75,0.7301587301587301,0.8055555555555555,0.7301587301587301,0.7000000000000001,0.5675609531495888
AB,combined,8,0,0.8333333333333334,0.7777777777777777,0.9259259259259259,0.7777777777777777,0.7916666666666666,0.725018488207177
GBT,combined,8,0,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.8589556903873333
LR,combined,8,1,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8690476190476191,0.7391491482878365
NB,combined,8,1,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
kNN,combined,8,1,0.8333333333333334,0.625,0.625,0.625,0.625,0.6571428571428571
DT,combined,8,1,0.6666666666666666,0.6944444444444443,0.6944444444444443,0.6944444444444443,0.6944444444444443,0.3142857142857143
RF,combined,8,1,1.0,1.0,1.0,1.0,1.0,1.0
SVM,combined,8,1,0.75,0.875,0.7000000000000001,0.875,0.7286324786324786,0.6425396041156863
AB,combined,8,1,0.9166666666666666,0.8888888888888888,0.9629629629629629,0.8888888888888888,0.9137254901960784,0.8317883872610065
GBT,combined,8,1,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
NB,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
kNN,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
DT,combined,8,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
RF,combined,8,2,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9301587301587301,0.8525978400882076
SVM,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
AB,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
GBT,combined,8,2,1.0,1.0,1.0,1.0,1.0,1.0
LR,combined,8,3,0.9166666666666666,0.9523809523809524,0.8333333333333334,0.9523809523809524,0.8632478632478632,0.8690481892534816
NB,combined,8,3,0.75,0.8214285714285715,0.8111111111111112,0.8214285714285715,0.8119658119658119,0.5626758636903997
kNN,combined,8,3,1.0,1.0,1.0,1.0,1.0,1.0
