model,feature_set,repeat,fold,inner_best_balanced_accuracy,best_params
GBT,combined,4,3,0.9722222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,4,4,0.8611111111111112,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}"
NB,combined,4,4,0.7444444444444445,"{""model__var_smoothing"": 1e-11}"
kNN,combined,4,4,0.8444444444444444,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,4,4,0.9166666666666666,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2}"
RF,combined,4,4,0.9055555555555554,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}"
SVM,combined,4,4,0.9055555555555556,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,4,4,0.8388888888888889,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 50}"
GBT,combined,4,4,0.861111111111111,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 100}"
LR,combined,5,0,0.9,"{""model__C"": 1.0, ""model__class_weight"": null}"
NB,combined,5,0,0.6222222222222221,"{""model__var_smoothing"": 1e-11}"
kNN,combined,5,0,0.8444444444444444,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
DT,combined,5,0,0.8777777777777778,"{""model__class_weight"": null, ""model__max_depth"": 3, ""model__min_samples_leaf"": 4}"
RF,combined,5,0,0.9666666666666667,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 2}"
SVM,combined,5,0,0.9333333333333332,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,5,0,0.8999999999999999,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
GBT,combined,5,0,0.9222222222222222,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,5,1,0.9043209876543209,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}"
NB,combined,5,1,0.811111111111111,"{""model__var_smoothing"": 1e-11}"
kNN,combined,5,1,0.8611111111111112,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
DT,combined,5,1,0.8820987654320988,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 2}"
RF,combined,5,1,0.9499999999999998,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}"
SVM,combined,5,1,0.9055555555555556,"{""model__C"": 0.1, ""model__class_weight"": ""balanced"", ""model__kernel"": ""linear""}"
AB,combined,5,1,0.9611111111111111,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,5,1,0.9055555555555556,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}"
LR,combined,5,2,0.9333333333333332,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
NB,combined,5,2,0.7888888888888889,"{""model__var_smoothing"": 1e-11}"
kNN,combined,5,2,0.8444444444444444,"{""model__n_neighbors"": 7, ""model__weights"": ""distance""}"
DT,combined,5,2,0.9308641975308641,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 2}"
RF,combined,5,2,0.9777777777777777,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1}"
SVM,combined,5,2,0.9333333333333332,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__kernel"": ""linear""}"
AB,combined,5,2,0.9543209876543209,"{""model__learning_rate"": 0.2, ""model__n_estimators"": 100}"
GBT,combined,5,2,0.9777777777777777,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}"
LR,combined,5,3,0.9888888888888889,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}"
